title,summaries,position,open,ticket,traffic,comment,site
保俶塔,保俶塔是一处建于五代十国时期的汉族古建筑坐落在浙江省杭州市宝石山上，又名保叔塔、宝石塔、宝所塔、保所塔。据载始建于五代后周年间，原为九级，北宋咸平年间重修时改为七级。历代曾多次修建，现在的实心塔是民国二十二年（1933年）按照古塔原样修葺的。1997年更换朽坏塔刹重新修葺，此后，保俶塔一直保持完好至今。保俶塔，位于浙江省杭州市西湖北线宝石山上，始建于北宋年间，后屡毁屡建，为1933年按明末以后的原式样重建。保俶塔的塔身是呈八角形的砖砌结构，共分七层，上面还有一个用木结构基座支撑的铁铸塔顶。宝塔第七层顶部有木制的天花板，而且还有粗原木从顶部穿出，以支撑塔顶。为这些原木预留的洞在锥形的塔顶至今仍能够清楚地看到。再上面就是带有五个铁圈的铸铁尖顶。塔身庞大，而且不能够从内部登上塔顶。如果不计算尖顶的话，塔的高度据估计也达到了40米。塔身底层每一边的宽度是2.65米，除底层外的第二至五层，每一层的外墙都略小于底层的外墙。,杭州市西湖区保俶路,周一至周日 全天,免费,7路;27路;27路高峰线;27路高峰线[吴山夜市交通管制];51路;52路;52路西湖南线大循环;118路;环西湖夜游线;假日6线/j6线;游10线/y10线,（393条）,
大兜路历史文化街区,,,"
            ",,,,
梅坞春早,·四周青山环绕，茶山叠嶂。以生产色绿、香郁、味醇、形美的龙井茶叶著称。·梅家坞盛产的茶叶是西湖龙井中的珍品。其中，“梅坞春早”，为“三评西湖十景”之九。·满眼望去，一层层的都是梯田里修剪地整整齐齐的茶树。路蜿蜒在山脚下、溪水边，后方满是绿树，优美至极。·周恩来总理生前曾五次亲临梅家坞，关怀、指导茶叶的生产与发展。,杭州市西湖区梅家坞村梅灵南路1号,全天,免费,乘103、324、假日2线等公交车在梅家坞站下车可达,（159条）,
猴岛,·猴岛是千岛湖云蒙列岛猴子王国中的一个主要猴岛，由十余翡翠的大小岛屿组成，距千岛湖镇九公里。·猴岛上林木茂密，野果丛生，四周碧水环绕，与邻近岛屿相距水域都在千米以上。·到目前为止，猴岛已陆续放养了广西恒河猴、红面短尾猴，还有长尾猴、食蟹猴、熊猴、平顶猴等品种的猴子。,浙江省杭州淳安县,08:00-17:00 (1月1日-12月31日 周一-周日), 普通票:成人票152人民币/儿童（1.2-1.4米）80人民币/老年人（60岁以上）113人民币/海南本地113人民币 (1月1日-12月31日 周一-周日),在中心湖区旅游码头乘坐游船A线到达景点，夏季A线游船7:00开始售票，8:00发船；冬季A线游船8:00开始售票，9:00发船,（233条）,
杭州西湖风景名胜区-北高峰,北高峰在灵隐寺后，石磴数百级，曲折三十六湾。上有华光庙，以祀五圣。山半有马明王庙，春日祈蚕者咸往焉。峰顶浮屠七级，唐天宝中建，会昌中毁；钱武肃王修复之，宋咸淳七年复毁。此地群山屏绕，湖水镜涵，由上视下，歌舫渔舟，若鸥凫出没烟波，远而益微，仅规其影。西望罗刹江，若匹练新濯，遥接海色，茫茫无际。张公亮有句：“江气白分海气合，吴山青尽越山来”。郡城正值江湖之间，委蛇曲折，左右映带，屋宇鳞次，竹木云蓊，郁郁葱葱，凤舞龙盘，真有王气蓬勃。山麓有无着禅师塔。师名文喜，唐肃宗时人也，瘗骨于此。韩侂胄取为葬地，启其塔，有陶龛焉。容色如生，发垂至肩，指爪盘屈绕身，舍利数百粒，三日不坏，竟荼毗之。,杭州市西湖区法云弄1号灵隐寺后,周一至周日 08:00-17:00,免费,乘坐7路、324路、807路、旅游定制2号线、旅游定制7号线、游2路(Y2路)到灵隐站下车,（243条）,http://www.toxihu.com/webn/nIndex.htm
京杭大运河,"京杭大运河全长1794千米，是世界上最长的一条人工运河，是苏伊士运河的16倍,巴拿马运河的33倍，纵贯南北，是我国重要的一条南北水上干线。",杭州市京杭大运河余杭塘栖至钱塘江段,"
            ",,,（242条）,http://www.grandcanaltravel.com/
南屏晚钟,·西湖十景中，唯一以佛教寺庙中的法器作为一个景观，“南屏”是指净慈寺后的南屏山，“晚钟”是指净慈寺内的青铜大梵钟。·青铜大钟高3米，重10余吨，钟上铸有6.8万余字《妙法莲华经》，每逢除夕之夜，许多市民和游客还会聚集在净慈寺钟楼内外，举行新年撞钟活动。·每天大概16:00左右，也可以听到大木槌撞击摆钟的声音，很雄厚、很有力。·据说，净慈寺是济公修行和圆寂的地方，大雄宝殿西侧的济祖殿前是带有传奇色彩的运木古井，井底还留有济公运木时的最后一块木头。,杭州市西湖区南山路55号(净慈寺内),07:00-16:45 (1月1日-12月31日 周一-周日), 普通票:10人民币 (1月1日-12月31日 周一-周日),K4、K504、K822、822、Y2、Y3、J5、J7线净慈寺站。,（394条）,
良渚文化村,这是个万科旗下的田园城镇，主打“田园城市”牌。虽然咱们买不起房子，但是可以参观。在这个村庄里什么都自给自足。有美丽洲教堂，有一所由日本津岛晓生建筑事务所设计的全木质结构教堂，有诉说着5000多年前中国文明的曙光的升起的良渚博物馆。还有幼儿园、风情街、森林公园。余秋雨评价它说：“我从来没有见过一个文化遗址会这样美丽，这样地水草丰美，这样地搭配匀亭。一般的文化遗址展示给我们的总是人民离开的原因一一因为实在不合适生活。可能是气候突变，可能是战争，导致文化遗址上居住的断裂。但是我所看到的良渚是一个可以栖息的地方。”,杭州市余杭区玉鸟路,全天开放,免费,地铁2号线（良渚站）下车后换公交；乘372、389、b支8、b支8区间等公交车在良渚文化村站下车可达,（60条）,
杭州西湖风景名胜区-印象西湖表演,由著名导演张艺谋操刀制作的《印象西湖》西湖大型实景山水演出。以真山真水作舞美，全剧以各种虚幻的西湖景色片段构成，从开始小船载着“许仙”登上“水中阁楼”开始，所有的表演都没有故事，而是一种意向的表演。其中最令人感到震撼的是从湖面升起的三角形雨帘，两只大鸟在雨中翱翔，伴着张靓颖《印象·西湖雨》的歌声，你还能看到白娘子与许仙诉情的情景。,杭州市西湖区北山路82号（岳王庙正对面）,第一场19:45-20:45，第二场21:15-22:15。（是否演出第二场，以当日公布信息为准）。,普通票220元/张,Y1、Y2、Y3、27、K27、K850、81、K81、7、K7、Y9、J1到岳庙站,（229条）,http://www.yxwestlake.com/
千岛湖东南湖区,·千岛湖是中国首批国家级风景名胜区之一，也是中国面积最大的森林公园。·其中千岛湖东南湖区岛屿众多，花开四季，泛舟湖面，十分惬意。·是一处融自然生态与保健养生为一体的新型生态游憩园区。,杭州市淳安县千岛湖风景区,8:00-18:00,千岛湖单独门票150元，加游船215元（千岛湖有中心湖区和东南湖区，一天只能游玩一个景区，游玩时办理隔日游需要手续费，即可继续进入游玩）,外部交通杭州长途汽车西站-千岛湖客运中心，6:00-18:50每30分钟一班，约60元，车程约2小时黄龙旅游集散中心-千岛湖阳光车站，8:00-18:30每1.5小时左右一班城际公交，40元左右，约3小时钱江市场-千岛湖阳光车站，5:20-17:30左右，约20分钟一班，40元左右内部交通到达千岛湖，乘船可以到达（东南湖区游船开船时间：每天9:00、10:00、11:00、13:00）,（93条）,http://www.1islandlake.com/
垂云通天河景区,垂云通天河是一条岩溶地下暗河，由于亿万年前的地壳变动及火山爆发等因素，形成了典型的喀斯特岩溶地貌。景区分为“暗河荡舟”和“地下大峡谷探秘”两部分，前者是在地下暗河乘船，后者是溶洞内步行。暗河荡舟有一条长达千米的地下暗河，宽度刚好可以行船，也成就了溶洞内乘船漂流的观光方式。,杭州市桐庐县瑶琳镇东琳村景区,春、夏、秋季8:00-16:30，冬季8:30-16:00,全年门票：门市价108元/人，网络价98元/人；地下大峡谷45元/人；山地滑车45元/人。,杭州市区至杭州西站，乘坐杭州到千岛湖或者分水的车，直接售票窗口购买到”通天河“站下，桐庐县城至浮桥埠车站乘坐桐庐到分水客车，到”垂云通天河“站下。,（1740条）,http://www.cytth.cn/
芹川古村,·芹川村有着750余年的历史，以徽派建筑为主。·古村被一条宽窄不一的山涧分成两半。从山顶俯视，整个村庄沿小河形成一个“王”字。·民房择水而造，沿着一条曲曲的山涧向山脚沿伸。,杭州市淳安县浪川乡西部,全天开放,免费,公交：千岛湖阳光汽车站从早上6:30至下午5:00每30分钟左右就有一班发往汾口方向的班车，至芹川村票价约14元。自驾：杭州-（杭千高速，约129公里）-千岛湖镇-（环湖景观大道）-千岛湖大桥-（千汾公路，约50公里）-浪川乡芹川村。,（88条）,http://www.1islandlake.com/
杭州极地海洋公园,·杭州极地海洋公园是集极地动物展示、极地景观体验于一体的大型极地海洋公园。·园内拥有19大特色主题场馆，7大精彩表演剧场，还有数百种极地动物、鲸豚类、鱼类、珊瑚和水母等。·最不能错过的就是镇馆之宝——领航鲸，这是国内海洋馆首次引进的鲸类。·海洋世界中最精彩的还是动物表演，有聪敏的海狮全明星上演功夫大戏，金鸡独立、倒挂金钩等绝活。,杭州市萧山区湘湖路777号,09:00-17:00 (1月1日-12月31日 周一-周日), 成人票:240人民币 (1月1日-12月31日 周一-周日),杭州地铁1号线湘湖站出站，然后可乘坐公交344/405至跨湖桥站下车或者选择打车到达景区（景区距离地铁站仅4公里）。,（83条）,http://www.hz-polar.com/
苏小小墓,·苏小小墓位于杭州西湖西泠桥畔。南齐时钱塘第一名伎，中国古代最有名的才女佳人。·后几经损毁，在文化大革命前夕的1964年，墓亭被红卫兵毁坏。2004年重修用泰顺青石雕琢而成，由六根方柱支撑，高3.15米，墓径2.6米，圈高0.9米。·传说苏小小死后葬于西泠桥畔，前有石碑，题曰：钱塘苏小小之墓。苏小小墓在杭州的知名度家喻户晓。·据传说苏小小死后，芳魂不散，常常出没于花丛林间。,杭州市西湖区北山路孤山路口,全天,免费,乘坐公交Y10路至西泠桥站下即可。,（891条）,
杨梅岭,杨梅岭村地处西湖风景名胜区南线，是九溪十八涧的发源地。这里四面环山，绿树成荫，群坞之水汇成的小溪穿村而过，终年遄流不息。周边有大片大片的茶园，还有古香古色的农家院——清一色灰砖白瓦，与自然的景色相互映衬，不禁觉得像是走进了世外桃源。这一带游客比较少，所以环境比较清静。,杭州市西湖区满觉陇路杭州西湖风景名胜区,"
            ",,,（106条）,
万松书院,万松书院位于凤凰山北万松岭之上，三面环山，一面环水——即西湖。清代康熙、乾隆两帝南巡时，分别赐额“浙水敷文”、“湖山萃秀”。书院始建于唐贞元年间（785-804），原名报恩寺；明弘治十一年（1498）由浙江右参政周木改辟为万松书院。它是明清时期杭城规模最大、历时最久、影响最广的文人汇集之地，明代理学家王阳明曾在此讲学。但更令这里名声远洋的还有那家喻户晓的民间故事——梁山伯与祝英台。相传这里是梁山伯与祝英台同窗的地方，凄美的梁祝之恋使万松书院成为男女婚姻一线牵的姻缘之地，名声远播省内各地，故而取名“万松书缘”，亦是“三评西湖十景”之六。,杭州市上城区万松岭路81号,周一至周日 7:30-17:00,成人10元，1.5米以下儿童5元，1.2米以下儿童免票,公交:乘102路在万松岭站下车步行可达,（78条）,
千岛湖风景区-千岛湖龙山岛,·龙山原来是一座山，有“桐桥铁井小金山，石峡书院活龙山”之誉。·岛上有海瑞祠，他曾在淳安做过知县，海瑞祠中的狂草寿字碑尤其引人注意，由生”“母”“七”“十”四字组合而成。·从海瑞祠拾级而上，一路鸟语花香，林木葱翠，约行五百级石阶小径可直达宁古钟楼。·楼内置一宁代铁钟，可撞钟觅趣，也可眺望湖光山色，隔水遥望县城千岛湖镇，领略一番人间美景。,杭州市淳安县千岛湖中心湖区,全天开放,门票包含于通票当中,在中心湖区旅游码头乘坐游船B线到达景点,（134条）,http://www.1islandlake.com/sy/
拱宸桥,拱宸桥东连丽水路、台州路，西接桥弄街，连小河路，是杭城古桥中最高最长的石拱桥。桥长98米，高16米，桥面中段略窄为5.9米宽，而两端桥堍处有12.2米宽。三孔薄墩联拱驼峰桥，边孔净跨11.9米，中孔15.8米，拱券石厚30厘米，采用木桩基础结构，拱券为纵联分节并列砌筑。这是一座非常有底蕴的桥梁，站在桥上仿佛可感受历史如河水滚滚而来；同时这里也是京杭大运河南段的起点。,杭州市拱墅区桥弄街1号,周一至周日 全天开放,免费,"乘79、98、129路等公交车在拱宸桥西站下车,步行约260米可达",（93条）,
白塔公园,杭州白塔公园是西湖文化遗产的实证，是京杭大运河文化遗产的端点，还是108年前杭城第一条铁路的始发站所在。,杭州市上城区老复兴街,9:00-16:30,20元,公交:乘坐190路、308路到白塔岭下车步行至白塔公园；乘坐119路至白塔岭北站下车步行可达,（33条）,
黄山尖,·在黄山尖登临山巅，向西北俯瞰，九十多个岛屿尽收眼底，如同“公”字，像一串串珍珠撒落在湖面。·向东南眺望，一道幽深的峡谷从黄山尖和羡山岛之间穿过；向西南远眺，一望无际的大湖，姥山岛隐在云雾之中。·千姿百态的岛屿和迷离曲折的港湾，构成了一幅幅美丽的山水胜景。,杭州市淳安县千岛湖景区黄山尖,8:00-18:00，游船开船时间：9:00、10:00、11:00、13:00发船（满船发班）,门票包含在通票中,在东南湖区码头乘坐游船C线到达景点,（162条）,
中国丝绸博物馆,中国丝绸博物馆位于杭州西子湖畔，是第一座全国性的丝绸专业博物馆，也是世界上最大的丝绸博物馆。建筑风格柔美飘逸，馆内桑园染草，小桥流水，让你尽情领略大自然的风光。丝绸博物馆分五个厅向大家讲述关于丝绸的故事——丝绸的起源和发展、丝绸的主要种类、制作工艺、丝绸之路及丝绸在古代社会生活中占据的地位。馆内还设有临展厅，举办各类临时专题展览。有兴趣的也可以在这里购买丝绸。,杭州市西湖区玉皇山路73-1号,周一 12:00-16:45 周二至周日 09:00-16:45,免费,乘12、42、87、271、西湖南线景区假日线、y9等公交车在丝绸博物馆站下车可达,（132条）,http://www.chinasilkmuseum.com
郭庄景点,郭庄是浙江省重点文物保护单位。位于杭州西湖西山路卧龙桥北堍。由清朝绸商宋端甫所建。俗称宋庄，也名“端友别墅”。民国时，宋庄曾抵押给清河坊孔凤春粉店，后卖给汾阳郭氏，改称“汾阳别墅”，俗称郭庄。1950年后，郭庄移作他用，建筑与园林损缺荒芜。1989年10月由园林部门收归整修，按修旧如旧原则复其旧貌，1991年10月1日重新开放。庄园占地9788平方米，水面近3000平方米，建筑总面积1629平方米。,杭州市西湖区杨公堤28号,8:00-17:00。仅供参考，请以景区具体开放时间为准。,10元/人,乘做51路;52路;52路西湖南线大循环;318b线;318路;318路西湖南线大循环。,（85条）,
胡庆余堂中药博物馆,·杭州胡庆余堂中药博物馆是中国专业性博物馆，位于浙江省杭州市大井巷。享有“南有庆余堂、北有同仁堂”盛誉。·胡庆余堂由陈列展厅、中药手工作坊、养生保健门诊、营业厅与药膳厅等五大部分组成，是国内难得的集江南建筑之长的清代前店后作坊式建筑。·胡庆余堂整体建筑宛如仙鹤，可分“一进”和“二进”两部分，是国内难得的集江南建筑之长的清代前店后作坊式建筑。,杭州市上城区大井巷95号,9:00-17:00,票价5元/人，学生3元/人，团体8折,公交:乘13路、59路、189路、208路、308路、352路等在鼓楼站下,（255条）,
浙江大学紫金港校区,·紫金港校区位于杭州城西部塘北地块，毗邻著名而又古老的西溪风景区。·该校区是现浙江大学党政机关办公所在地，并有外语学院、理学院、生命科学学院、医学院、药学院、管理学院等学院。·特点是没有围墙，没有校门，拥有护校河。,杭州市西湖区余杭塘路866号,全天开放,免费,10路;10路快线;74路;74路快线;89路;93路;97路;129路;132路;226路;227路;505路区间,（252条）,http://www.zju.edu.cn/
法喜寺,浙江省杭州市天竺山有著名三寺，时称“天竺三寺”（通称上天竺寺、中天竺寺、下天竺寺），均系杭州古代名刹。下天竺创建最早，距今已有一千六百六十馀年，创建最晚的上天竺寺也有千年历史。清高宗乾隆命名上、中、下三竺为“法喜寺”、“法净寺”、“法镜寺”，并亲题寺额。天竺三寺历史相近，地域毗近，教观相同，兴衰与共，历史上被誉为“天竺佛国”。,杭州市西湖区天竺路239号,周一至周日 8:30-17:00,门票10人民币,乘坐103路;121b线;121路;122路;324路到上天竺下车,（58条）,
杭州西湖风景名胜区-浴鹄湾景区,浴鹄湾景区东靠杨公堤，西临三台山路，北至乌龟潭景区，南到虎跑路。这是西湖大景边的一处小景，悠闲自在的园林小筑，虽然小的可以，但却依山伴水，花花草草的四季常开，有时候幽静得除了清洁的叔叔阿姨，一个游人都没有。,杭州市西湖区三台山路赤山埠29号,周一至周日 全天开放,免费,乘51、52、194、197、318、y2路的鞥公交车在浴鹄湾站下车可达,（74条）,http://www.toxihu.com/webn/nIndex.htm
晓书馆,晓书馆是由高晓松发起并担任馆长的公益图书馆，选址于良渚文化村，位于建筑大师安藤忠雄设计的良渚文化艺术中心内。,杭州市余杭区滨河南路与玉鸟路交叉口西北150米(杭州万科良渚文化艺术中心内),周日、周二、周三、周四 09:00-20:00,免费,地铁：二号线良渚站杭州市区出发：372路、389路、478路、B支8路、B支8路区间(至良渚文化村站),（23条）,http://www.xiaoshuguan.cn
杭州鼓楼景区,鼓楼位于杭州吴山东面，南接十五奎巷，北临大井巷，东迎中河路，西靠伍公山，是清河坊历史街区东南面的起始点。始建于五代时期的南朝，距今约1400年左右，曾经是南宋皇帝的一座宫殿“福临殿”，民间俗称鼓楼。六十年代时拆除，2003年重建，巨幅东阳木雕作品《清明上河图》、《鼓楼形胜图》安装在展示厅上方。二楼城楼上的大鼓直径达两米，世纪平安钟被饭防御观景台上，可供游客击鼓鸣钟以助游兴，引发思古之幽情。,杭州市上城区中山南路431号(近十五奎巷),周一至周日 09:00-21:00,10元,公交:乘坐8路、13路、66路、71路公交车至鼓楼站步行可达,（208条）,
杭州西湖风景名胜区西湖游船,杭州之美，美在西湖。西湖游船是西湖里的一道风景线。去杭州的游客，总少不去西湖，去西湖绝对要坐在游船上，畅游湖光山色，细观绿波岚影，领略一下西子湖“淡妆浓抹总相宜”的美丽动人风貌。,杭州市苏堤南口花港观鱼西湖外事游船码头,8:00-16:00,25元。 特殊人群：A.免票政策：儿童身高1.2米以下免费。 B.优惠政策：儿童身高1.2-1.5米购儿童票。,乘坐公交52路，在苏堤站下车后，步行可到。,（34条）,http://www.hz-xhyc.com/
月光岛,·位于千岛湖中心湖区，原名五龙岛，是沿用水下五龙桥之旧地名。·月光岛是一个具有诗情画意的地方，由情园、逸园、系园、心园、梦园等五所主岛所组成。·整个岛凸显爱情文化主题，以情为线、以景为依托，整个画面诗情画意并且充满独特的乐趣。,杭州市淳安县千岛湖中心湖区月光岛,周一至周日 全天,包含在千岛湖景区门票内（景区门票旺季150元，淡季120元）,在中心湖区旅游码头乘坐游船B线到达景点,（108条）,http://www.1islandlake.com/sy/
高银街,,,"
            ",,,,
南山路文化艺术休闲特色街区,如果你只是杭城匆匆的过客，想要在尽可能短的时间内目睹这座城市的精髓，那么我很可能会带你来逛一逛南山路。因为在这里，哪怕只是站在一个街角的十字路口，你也将感受到全然不同的城市气质在此汇集：现代都市的车水马龙，吃喝玩乐的繁华盛景，西湖美景的秀美婉约，以及千百年来厚重却又鲜活的历史文化印迹……历史与现代，过去与未来就这样在此融会贯通，相得益彰。这里聚集了西湖新天地等高档休闲娱乐场所，是杭州着名的酒吧、画廊、娱乐一条街。,杭州市上城区南山路(南至万松岭脚下北至解放路口),"
            ",,,（65条）,
吴山天风,景秀、石奇、泉清、洞美。山上有城隍阁，秀出云表，巍然壮观。吴山东、北、西北多俯临街市巷陌，南面可远眺钱塘江及两岸平畴，虽不高，上吴山却仍有凌空超越之感，且可尽揽杭州江、山、湖、城之胜。,杭州市上城区城隍山吴山路3号（延安路南端）,8:00-21:00,景区免费,公交:乘坐25、35、187、212、404、k327、k850、y8在吴山广场站下,（135条）,
浙江美术馆,浙江美术馆背靠万松岭，门对西子湖，是现代化程度最高的美术馆之一，其外观建筑也十分有现代美感。这里收藏和展览了许多能反映浙江美术发展历程、特别是近现代浙江籍和在浙江有重要美术活动的美术家作品、文物、文献，国内外有重要影响的美术流派、美术家代表作品及文献，还有古代美术、现代美术、民间美术、工艺美术精品等。,杭州市西湖区南山路138号,"周二-周日9:00-17:00(16:30停止入馆),周一休馆(遇法定节假日照常开放)。",免费,乘4路、31路、51路、52路、87路、87路(工作日)、87路(节假日非绕行时段)、194路(节假日)、197路(节假日)、334路、游2路(Y2路)、游10线(Y10路)、银联春游14号等公交车在长桥站下车步行约290米可达,（56条）,https://www.zjam.org.cn/
杭州龙门古镇,龙门古镇位于杭州市西南52公里的富春江南岸，因东汉名土严子陵游览镇南的山时称赞“此地山清水秀，胜似吕梁龙门”而得名。这是一座以卵石铺成的古镇，卵石的小路、卵石的墙垣，给人以一种别样的视觉冲击。经过多年的风雨洗刷、侵蚀，卵石变得圆润光滑，踩在上面好比享受着免费的脚底按摩。一颗颗光滑的卵石，也是古镇历史的最好见证。镇子里有着江南地区保存最完整且极为罕见的明清古建筑群，民居、牌楼、祠堂、塔、寺等应有尽有，伴着古樟、小桥、溪水，构成了一道古镇独特的风景。一路沿龙门溪而上，只见山道逶迤，山岩森列，两侧奇峰异石凸出，形似钟鼓。谷中溪水萦绕，林木苍翠，漫步期间，身心随之轻盈起来。,杭州市富阳区龙门古镇,周一至周日  08:00-17:00,门票80元/人，1.2米以下儿童免票，1.2-1.5米儿童、60周岁以上老人持老年证半价,公交：乘坐634路车在环山2站下车步行。,（65条）,http://www.hzlongmen.com
城隍阁景区,城隍阁（杭州新西湖十景吴山天风景区）位于吴山之巅，吴山是七宝山、紫阳山、云居山等几个小山的总称。城隍阁连地下共七层的仿古楼阁式建筑，高41.6米，炫煌富丽，融合元、明殿宇建筑风格，大处着眼，细处勾勒，兼揽杭州江、山、湖、城之胜。,杭州市上城区吴山3号（吴山广场山顶）,8:00-20:00,30元,公交:乘坐60路至吴山广场东下，步行700米可达,（104条）,
超山风景名胜区,杭州近郊的赏梅胜地，这里种植梅花已有近千年的历史，“十里梅花香雪海”说的就是超山的风景。每年2月中旬到3月初，是来超山赏梅的最好时机。超山种植的梅花比灵峰更多，也更有野趣。即使不在赏梅的季节，来超山爬山也是不错的体验。登上1000多级台阶，在山顶的来仙亭眺望，能看见远处的京杭运河和塘栖古镇。因为这里是西泠印社的首任社长吴昌硕先生的长眠之地，山上还有吴昌硕纪念馆和墓地可供游人探访。到了6月上旬，超山的杨梅采摘活动则很受亲子游家庭的青睐。,杭州市余杭区塘栖镇超山村超山风景区内,周一至周日 08:00-16:30,60元，上海、嘉兴、湖州、绍兴市居民凭身份证可享8折优惠,乘坐公交到跌马桥站下，步行可到。,（53条）,http://www.cstour.cn
杭州博物馆,杭州博物馆是一座反映杭州历史变迁的人文类综合性博物馆，是浙江省最具特色和影响力的博物馆之一，场馆前身为2001年10月开放的杭州历史博物馆。建馆10年余来，系列的展览与公众参与活动已经成为杭州市民和广大游客的文化生活中的一项重要内容。,杭州市上城区粮道山18号,"
            ",,公交:乘坐28、8、38、Y8、35、850、85、40、34、59、210路到吴山广场下车,（75条）,http://www.hzmuseum.com/
八卦田遗址公园,八卦田景群位于玉皇山南麓，在玉皇山脚下，是一块形如八卦图的独特农田。相传南宋皇帝为了表示与民同苦就在这玉皇山脚下选了块福地，打下规则对称的八个角，把田分成八块，亲自耕种，中间是一个土丘，形如太极。几百年过去了，历史几经变迁，但这块古田却完整地保留了下来，如今仍在耕种。八卦田还有因为一年四季种着不同的农庄物而呈现不同的色彩。就说今年夏天，玉米、豇豆、黄瓜、向日葵，黄黄绿绿和红色的土壤，尤其是俯瞰特别美。,杭州市上城区虎玉路41号,8:00-17:30停止入场时间17:30。,36元,地铁:4号线至水澄桥站下,（112条）,
钱江新城,钱江新城位于浙江省杭州市城区的东南部，钱塘江北岸，距离西湖风景区约4.5公里，距萧山国际机场约18公里。一期所辖范围为：东临钱塘江，南靠复兴地区，西依秋涛路，北至钱塘江二桥、艮山西路，占地面积约15.8平方公里。二期占地面积5.2平方公里，占地范围为西至杭甬高速，东靠和睦港，北至艮山东路，南临钱塘江。,杭州市东南部钱塘江北岸,"
            ",,,（99条）,http://www.hzcbd.com/
杭州野生动物世界,杭州野生动物世界园内山峰林立，溪流纵横，植被茂盛，气候舒适，该园以自然为主题，以山峦沟壑为背景，以野生动植物为特色，以开放展出为主要方式，完全摒弃传统动物园的经营管理模式，让人在充分感受“野趣”和“情趣”。每天能接待6万名游客。园内的动物约有200种，1万多头（只），其中园内国外的珍稀动物约占70％。园内共有3个演艺场：大象演艺尝飞禽演艺尝蓝宝石中心演艺常28日开放的是能容纳2000人的大象演艺场，大象踢足球、扣篮等表演会令人捧腹不已。其余两个演艺场要在春节后开放。其中，蓝宝石中心演艺场将能容纳8000人，俄罗斯等国的马戏团都将在此献艺。园区地处亚热带季风气候区，年平均温度16．6摄氏度，雨量充沛，适宜多种植物生长和野生动物栖息繁殖。园内山峦起伏，水资源丰富，拥有天然水库4个、山涧小溪无数。,杭州市富阳区杭富路九龙大道1号,1月1日-7月13日(白天常规票)9:30-16:30;7月14日-8月19日(暑期夜公园)16:00-21:00;7月14日-8月19日夜场开放期间现场售票截止:20:30(其他时间段现场售票截止15:30)。,成人票：180元,公交：乘坐513、436路在科创路口下车步行达到。,（82条）,http://www.hzsp.com/
中国伞博物馆,烟雨江南衍生出独特的伞文化，伞的审美、诗意、象征意蕴伴随这历史发展的车轮，碾压出一道独特的文化轨迹，而中国伞博物馆就收藏了这样一段文化。博物馆介绍了中国为代表的伞文化、伞历史、伞故事、制伞工艺技术以及伞艺术，是世界首创的伞主题博物馆。馆内有多媒体演绎的虚拟雨景、小水雾等作为渲染，整个场馆以白墙灰瓦色调为主，让人不禁回忆起戴望舒笔下，那个悠长又寂寥的雨巷里撑着油纸伞独自彷徨的姑娘。这里还设有互动区，可亲自体验动手体验伞的制作过程——为伞组装零件、画伞面、修伞。,杭州市拱墅区小河路336号,周二-周日9:00-16:00（周一全天闭馆）。,免费,乘79、98、129路等公交车在拱宸桥西站下车步行约100米可达,（59条）,http://www.zgdjss.com
指南村,指南村位于临安东天目山麓，太湖源头的南苕溪之滨，紧依神龙川、太湖源、天荒坪等知名旅游景点。村子的森林覆盖率在93%以上，村后有二百余参天古树，都是枫香、银杏、柳杉、麻栗等稀有树种，最长的树龄在900年以上。这里冬暖夏凉、鸟语花香，暑昼最高气温也在30摄氏度以下，是避暑的好地方。而每到深秋时节，金黄的银杏、火红的枫树则将这里涂抹成“泼了浓墨的高山风情油画”，为是江浙最美赏秋胜地之一。当红色的枫树随意地飘落在村子的每一个角落，指南村的秋意便在这不经意间进入了佳境。村庄左右两侧还有四百七十多亩梯田，蔚蔚壮观。沿公路盘山而上有一天池，全年池水碧绿，游鱼成群。指南村以“卻”为大姓，尚有保存完整的百年古屋，及挖掘出来的古石器和古铁币。水、屋、树、文物、墓、姓、村，这“七古”赋予了指南村独特的魅力。如果你喜欢徒步，则可以选择从横渡徒步至此——这是一条特别出色的休闲徒步线路，是杭州户外摄影爱好者每年必去的目的地之一。,杭州市临安市太湖源镇指南村,全天开放,免费,在杭州西站坐k598到临安新车站下车，转乘2、3路到西墅街站下车，再开往太湖源白沙的公交车，在溪口的“和润世家酒店”下车，步行走过一座桥往右转上山可达,（39条）,
浙西天池,浙西天池风景旅游区位于清凉峰国家级自然保护区内，海拔1100米，是一个集休闲、度假、旅游、餐饮、住宿、娱乐为一体的生态旅游度假区。,杭州市临安市大峡谷镇,"
            ",,,（64条）,
中国杭帮菜博物馆,中国杭帮菜博物馆坐落在南宋皇城大遗址旁的江洋畈原生态公园。南临钱塘江，北傍莲花峰，西连虎跑，东靠玉皇山、八卦田。博物馆毗邻西湖，与钱塘江风景串连成片，周边空气清新，人称天然氧吧。博物馆里介绍了许多杭帮菜相关的知识，展出了许多菜式，做得非常逼真，让人不禁直流口水，可谓是有历史有卖相。馆内最大的亮点应属那桌满汉全席和24节气养生本帮菜做法那里的触摸屏和电子布景。,杭州市凤凰山路9号（原虎玉路15号）,周二至周日 10:00-18:00,免费,公交:乘39路在杭帮菜博物馆站下车步行可达,（52条）,http://www.zghbc.com/
“大树王国”西天目山,,杭州市临安市西天目乡大有村,"
            ",,8:00-16:00,（127条）,
