title,type,house,area,price,lease,region,floor,orient,elevator,parking
整租 · 丽晶国际 一线江景坐看钱塘潮起潮落 可自住办公,3室2厅2卫,整租,120㎡,10000,1年以内,萧山,中楼层/36层,朝南 北,有,暂无数据
萧山宝龙城市广场 1室1厅 3000元,1室1厅1卫,租赁方式未知,40㎡,3000,暂无数据,萧山,中楼层/27层,朝南,有,暂无数据
整租 · 家具家电齐*，拎包入住，装修清爽，业主诚心出租！！,3室2厅2卫,整租,117㎡,5400,2~3年,萧山,中楼层/6层,朝南,无,暂无数据
湖畔宽邸中央郡 4室2厅 7000元,4室2厅3卫,租赁方式未知,207㎡,7000,暂无数据,萧山,中楼层/7层,朝南 北,暂无数据,暂无数据
东方一号 3室1厅 10000元,3室1厅2卫,租赁方式未知,128㎡,10000,暂无数据,萧山,中楼层/24层,朝东 南 北,有,暂无数据
之江绿洲嘉园 3室2厅 8000元,3室2厅2卫,租赁方式未知,150㎡,8000,暂无数据,萧山,高楼层/27层,朝南,有,暂无数据
整租 · 港汇中心 3室2厅 11000元,3室2厅1卫,整租,129㎡,11000,1~2年,萧山,中楼层/33层,朝东北,有,暂无数据
港汇中心 3室2厅 5000元,3室2厅1卫,租赁方式未知,60㎡,5000,暂无数据,萧山,高楼层/33层,朝南,有,暂无数据
中栋国际 1室1厅 4600元,1室1厅1卫,租赁方式未知,52㎡,4600,暂无数据,萧山,中楼层/16层,朝南,有,暂无数据
萧山宝龙城市广场 1室1厅 3000元,1室1厅1卫,租赁方式未知,35㎡,3000,暂无数据,萧山,中楼层/27层,朝东,有,暂无数据
整租 · 次新小区，房龄新，小区环境好，业主诚心出租,3室2厅1卫,整租,88㎡,5000,2~3年,萧山,低楼层/30层,朝南 北,暂无数据,暂无数据
钱江世纪城，顺发康庄，简装，家具家电齐*，看房方便,3室2厅1卫,租赁方式未知,75㎡,3500,暂无数据,萧山,高楼层/29层,朝南,有,暂无数据
众安景海湾 3室1厅 2800元,3室1厅2卫,租赁方式未知,89㎡,2800,暂无数据,萧山,中楼层/29层,朝南,有,暂无数据
众安国泰花园 3室2厅 5900元,3室2厅2卫,租赁方式未知,120㎡,5900,暂无数据,萧山,高楼层/6层,朝南,无,暂无数据
整租 · 滨江金色江南，四房两卫，诚心出租，看房方便,4室1厅2卫,整租,90㎡,7500,1年以内,萧山,中楼层/27层,朝南,有,免费使用
整租 · 君悦丽景一  居室整租 交通便利,1室0厅1卫,整租,46㎡,3100,1年以内,萧山,低楼层/24层,朝南,有,暂无数据
整租 · 精装修一室一厅，业主诚心出租！,1室1厅1卫,整租,47㎡,2300,1年以内,萧山,中楼层/28层,朝北,有,暂无数据
整租 · 金色江南，大四房，三房朝南，诚心出租,4室1厅2卫,整租,90㎡,6800,1年以内,萧山,中楼层/27层,朝南 北,有,免费使用
世纪晶钻 1室1厅 3300元,1室1厅1卫,租赁方式未知,46㎡,3300,暂无数据,萧山,中楼层/26层,朝南,有,暂无数据
整租 · 房子是大3房的额 看房随时方便 房东诚心出租 跃层,4室1厅2卫,整租,108㎡,6500,1年以内,西湖,高楼层/6层,朝南,无,暂无数据
古荡新村西区 3室1厅 4400元,3室1厅1卫,租赁方式未知,81㎡,4400,暂无数据,西湖,低楼层/6层,朝南,无,暂无数据
整租 · 金地自在城林溪里3房2卫，随时看房！,3室1厅2卫,整租,89㎡,4200,1年以内,西湖,高楼层/18层,朝南,有,暂无数据
整租 · 城北商贸园大户型三室，价格美丽随时可看,3室2厅2卫,整租,111㎡,4200,1年以内,西湖,低楼层/6层,朝南 北,有,暂无数据
整租 · 房子一南一北 户型方正 地理位置优越 邀您入住,2室2厅1卫,整租,70㎡,3900,1~2年,西湖,高楼层/6层,朝南,无,暂无数据
整租 · 香樟公寓 2室1厅 4700元,2室1厅1卫,整租,77㎡,4700,1~2年,西湖,中楼层/7层,朝南,无,暂无数据
整租 · 欧式纯边套三房，家具家电设施齐*，给你一份温馨的家,3室1厅1卫,整租,88㎡,8000,1~2年,西湖,中楼层/23层,朝南,有,暂无数据
整租 · 花园西村 2室1厅 4500元,2室1厅1卫,整租,56㎡,4500,2~3年,西湖,低楼层/7层,朝南,无,暂无数据
沈塘新村 2室1厅 3600元,2室1厅1卫,租赁方式未知,42㎡,3600,暂无数据,西湖,低楼层/6层,朝南,无,暂无数据
整租 · 世纪新城新出房源，东边套，此户型目前本小区就这1套,1室1厅1卫,整租,69㎡,4800,1年以内,西湖,低楼层/27层,朝东 北,有,暂无数据
整租 · 自住精装三房，家具家电设施齐*，给你一份温馨的家,3室1厅1卫,整租,90㎡,6800,1~2年,西湖,低楼层/21层,朝南,有,租用车位
整租 · 翠苑四区 温馨一三房 近地铁交通便利 价位实惠,3室1厅1卫,整租,71㎡,4300,1年以内,西湖,高楼层/6层,朝南,无,暂无数据
整租 · 低楼层的                               大两房,2室1厅1卫,整租,76㎡,3100,1年以内,西湖,低楼层/6层,朝南 北,无,暂无数据
整租 · 链家房源枫华府第清爽装修采光好领包入住,1室1厅1卫,整租,46㎡,4000,1~2年,西湖,低楼层/25层,朝南,有,暂无数据
整租 · 简单干净清爽的两居室，  房东诚心出租,2室1厅1卫,整租,88㎡,4800,1年以内,西湖,高楼层/23层,朝南,有,暂无数据
西湖边.宝石新村边.看房方便.诚心出租,1室1厅1卫,租赁方式未知,44㎡,3600,暂无数据,西湖,中楼层/5层,朝南,无,暂无数据
整租 · 金地自在城大三房，看房方便，价格美丽,3室1厅2卫,整租,89㎡,3800,1~2年,西湖,高楼层/20层,朝南,有,暂无数据
整租 · 毛坯两房出租 适合办公 随时可看,2室2厅1卫,整租,98㎡,4000,1年以内,西湖,高楼层/18层,朝东南,有,暂无数据
整租 · 金都新城自住两房诚心出租，价格实惠不要错过哦,2室2厅1卫,整租,82㎡,5000,1~2年,西湖,低楼层/6层,朝南,无,暂无数据
整租 · 学院路222号 2室1厅 4400元,2室1厅1卫,整租,66㎡,4400,1~2年,西湖,中楼层/7层,朝南,无,暂无数据
整租 · 松木场河东 3室1厅 6800元,3室1厅1卫,整租,68㎡,6800,1~2年,西湖,中楼层/4层,朝南,无,暂无数据
整租 · 自住简装两居室，房东诚心出租哦，简单装修,2室1厅1卫,整租,49㎡,3500,1~2年,西湖,中楼层/6层,朝南,无,暂无数据
整租 · 地理位置优越，环境优美，好环境总会给人带来好心情。,3室1厅2卫,整租,172㎡,8800,1年以内,西湖,高楼层/16层,朝南,有,暂无数据
整租 · 翠苑四区南园 装修清爽 采光充足 期待您的入住,2室1厅1卫,整租,54㎡,4300,1年以内,西湖,中楼层/6层,朝南,无,暂无数据
整租 · 房子装修还不错，地段优越，楼层采光好,1室1厅1卫,整租,35㎡,3800,1年以内,西湖,中楼层/27层,朝西南,有,暂无数据
整租 · 紫桂花园 经典三房 优质装修 拎包入住,3室2厅2卫,整租,151㎡,11000,1年以内,西湖,中楼层/11层,朝南,有,暂无数据
整租 · 中兴公寓，两房朝南。采光好，居家舒适。,2室2厅1卫,整租,73㎡,4500,1年以内,西湖,高楼层/7层,朝南 北,无,暂无数据
整租 · 马塍路35号 3室1厅 4500元,3室1厅1卫,整租,67㎡,4500,1~2年,西湖,高楼层/6层,朝南 北,无,暂无数据
整租 · 翠苑四区 温馨一室 近地铁交通便利 价位实惠,1室1厅1卫,整租,42㎡,2900,1年以内,西湖,低楼层/6层,朝南,无,暂无数据
城北新武林，银泰*两房住宅出租，随时看房,2室1厅1卫,租赁方式未知,79㎡,5000,暂无数据,下城,高楼层/20层,朝南,有,暂无数据
整租 · 流水苑 2室2厅 4200元,2室2厅2卫,整租,77㎡,4200,1年以内,下城,高楼层/7层,朝南,无,暂无数据
整租 · 环城西路一居室 家具齐* 随时入住,1室1厅1卫,整租,46㎡,3800,1~2年,下城,中楼层/7层,朝南,暂无数据,暂无数据
岳家湾 3室1厅 5800元,3室1厅1卫,租赁方式未知,97㎡,5800,暂无数据,下城,中楼层/7层,朝南,无,暂无数据
整租 · 三室loft房子，随时可以入住，家具家电齐*。,4室1厅2卫,整租,56㎡,4500,1~2年,江干,低楼层/16层,朝南,有,暂无数据
整租 · 你值得拥有，江景房，领包入住，家具家电齐*,2室1厅2卫,整租,167㎡,20000,1~2年,江干,高楼层/34层,朝北,有,暂无数据
交通晓时代 2室1厅 3500元,2室1厅1卫,租赁方式未知,82㎡,3500,1~2年,江干,中楼层/16层,朝南,暂无数据,暂无数据
龙湖武林九里 3室2厅 3700元,3室2厅2卫,租赁方式未知,89㎡,3700,暂无数据,江干,高楼层/17层,朝南,暂无数据,暂无数据
采荷新村 2室1厅 3600元,2室1厅1卫,租赁方式未知,54㎡,3600,暂无数据,江干,中楼层/6层,朝南 北,无,暂无数据
整租 · 阳光华城华景园 1室1厅,1室1厅1卫,整租,53㎡,2400,1年,江干,2/9层,朝南,有,暂无数据
整租 · 世茂广场一室一厅 房东以前自己住的,1室1厅1卫,整租,46㎡,2500,1年以内,江干,低楼层/28层,朝南,有,暂无数据
整租 · 世茂江滨花园瑞景湾，简单装修3房2卫。,3室1厅2卫,整租,131㎡,4600,1年以内,江干,低楼层/33层,朝南,有,暂无数据
整租 · 金基晓庐，钱江新城，采光好，家具家电齐备，拎包入住,3室2厅2卫,整租,136㎡,9500,1年以内,江干,低楼层/31层,朝南 北,有,暂无数据
新城时代广场 1室1厅 4100元,1室1厅1卫,租赁方式未知,49㎡,4100,暂无数据,江干,中楼层/27层,朝南,有,暂无数据
成熟小区  房子已收拾干净  便宜出租,2室1厅1卫,租赁方式未知,49㎡,3300,暂无数据,江干,低楼层/6层,朝南,无,暂无数据
整租 · 三房，近火车东站，精装修,3室1厅1卫,整租,85㎡,5300,暂无数据,江干,低楼层/18层,朝南,有,暂无数据
"整租 · 
诚心出租，拎包入住，购物方便，交通便利",3室1厅2卫,整租,86㎡,2500,1年以内,江干,低楼层/17层,朝南,有,暂无数据
整租 · 龙湖一期 小洋房 简单装修 办公居住 拎包入住,5室1厅3卫,整租,137㎡,8800,1~2年,江干,高楼层/7层,朝南,有,暂无数据
观澜时代云邸苑 6室1厅 10000元,6室1厅3卫,租赁方式未知,110㎡,10000,暂无数据,江干,中楼层/43层,朝南,有,暂无数据
整租 · 金隅观澜时代天筑 3室1厅 3200元,3室1厅1卫,整租,87㎡,3200,1年以内,江干,低楼层/20层,朝东南,有,暂无数据
昆仑天籁 3室1厅 3700元,3室1厅1卫,租赁方式未知,89㎡,3700,暂无数据,江干,中楼层/16层,朝南,有,暂无数据
整租 · 九堡江景房  简单装修  两室,2室2厅1卫,整租,88㎡,3300,1~2年,江干,低楼层/24层,朝南,有,暂无数据
整租 · 装修比较不错的，一室一厅，房东诚心出租，价格美丽,2室2厅1卫,整租,82㎡,3700,1年以内,江干,中楼层/17层,朝南,有,租用车位
中旅城仕公馆 3室2厅 2800元,3室2厅2卫,租赁方式未知,89㎡,2800,暂无数据,江干,高楼层/11层,朝南,有,暂无数据
整租 · 东方铭楼 精装修房 出租 采光好,1室1厅1卫,整租,49㎡,3400,1年以内,江干,中楼层/23层,朝南,暂无数据,暂无数据
整租 · 城市果岭自住装修三房，拎包入住，环境安静,3室1厅1卫,整租,80㎡,3000,1年以内,江干,低楼层/31层,朝南 北,有,暂无数据
整租 · 钱江新城板块，万象城，市民之家，地理位置优越,3室2厅3卫,整租,184㎡,28000,1年以内,江干,中楼层/43层,朝南,有,租用车位
整租 · 梦琴湾 3室2厅,3室2厅2卫,整租,129㎡,6000,6~12个月,江干,14/28层,朝南,有,租用车位
整租 · 景冉佳园 2室2厅,2室2厅1卫,整租,62㎡,2900,6~12个月,江干,17/32层,朝南,有,租用车位
整租 · 伊萨卡国际城浩泽园 2室2厅,2室2厅1卫,整租,89㎡,4100,6~12个月,江干,26/34层,朝南,有,租用车位
合租 · 星桥锦绣嘉苑 3室1厅,3室1厅1卫,合租,12㎡,1560,6~12个月,拱墅,8/24层,朝南,暂无数据,暂无数据
整租 ·  惊 ！候潮公寓 好房出租 拎包入住 月付！！！！,2室1厅1卫,整租,54㎡,3400,2~3年,上城,高楼层/7层,朝南,无,暂无数据
中赢康康谷 2室2厅 5500元,2室2厅2卫,租赁方式未知,43㎡,5500,暂无数据,滨江,低楼层/18层,朝南,有,暂无数据
东海水景城 1室1厅 2100元,1室1厅1卫,租赁方式未知,49㎡,2100,暂无数据,余杭,中楼层/32层,朝南,有,暂无数据
港汇中心 1室1厅 4000元,1室1厅1卫,租赁方式未知,52㎡,4000,暂无数据,萧山,中楼层/33层,朝南,有,暂无数据
整租 · 友谊新村两房，中间楼层，生活方便。,2室1厅1卫,整租,50㎡,4000,2~3年,西湖,中楼层/7层,朝南,无,暂无数据
野风现代中心 1室1厅 4800元,1室1厅1卫,租赁方式未知,60㎡,4800,暂无数据,下城,中楼层/27层,朝南,有,暂无数据
江山弄 1室1厅 2600元,1室1厅1卫,租赁方式未知,30㎡,2600,暂无数据,下城,低楼层/7层,朝南,无,暂无数据
整租 · 德胜东村 2室1厅 4000元,2室1厅1卫,整租,86㎡,4000,1年以内,下城,高楼层/7层,朝东,无,暂无数据
整租 · 景翠公寓 2室2厅 4200元,2室2厅1卫,整租,86㎡,4200,1~2年,下城,低楼层/11层,朝南,有,暂无数据
整租 · 新天地G193广场 1室1厅 2600元,1室1厅1卫,整租,33㎡,2600,1年以内,下城,高楼层/20层,朝南,有,租用车位
整租 · 九龙仓君玺 3室2厅 13000元,3室2厅1卫,整租,89㎡,13000,暂无数据,下城,低楼层/31层,朝南,有,暂无数据
朝晖五区 2室1厅 3000元,2室1厅1卫,租赁方式未知,55㎡,3000,暂无数据,下城,中楼层/5层,朝南,无,暂无数据
整租 · 新天地G193广场 1室0厅 2800元,1室0厅1卫,整租,39㎡,2800,1~2年,下城,高楼层/20层,朝南,有,暂无数据
万家星城 3室1厅 4600元,3室1厅1卫,租赁方式未知,89㎡,4600,暂无数据,下城,中楼层/20层,朝南,有,暂无数据
三塘汶园 2室2厅 4100元,2室2厅1卫,租赁方式未知,83㎡,4100,暂无数据,下城,高楼层/21层,朝南 北,有,暂无数据
整租 · 民用水电  大3房公寓   价格优惠,3室1厅2卫,整租,79㎡,3500,1年以内,下城,高楼层/13层,朝南,有,暂无数据
新天地世嘉新座 2室1厅 4500元,2室1厅2卫,租赁方式未知,45㎡,4500,暂无数据,下城,高楼层/8层,朝南,有,暂无数据
红枫苑 2室1厅 4300元,2室1厅1卫,租赁方式未知,60㎡,4300,暂无数据,下城,中楼层/7层,朝南,无,暂无数据
武林路458号 2室1厅 6200元,2室1厅1卫,租赁方式未知,65㎡,6200,暂无数据,下城,中楼层/5层,朝南,无,暂无数据
星都嘉苑 1室1厅 3600元,1室1厅1卫,租赁方式未知,43㎡,3600,暂无数据,下城,高楼层/20层,朝东,有,暂无数据
整租 · 万家星城 3室2厅 7500元,3室2厅2卫,整租,130㎡,7500,1~2年,下城,中楼层/20层,朝南,有,暂无数据
天堂园汽轮宿舍 1室1厅 3000元,1室1厅1卫,租赁方式未知,49㎡,3000,暂无数据,下城,中楼层/5层,朝南 北,无,暂无数据
万家星城 3室1厅 4800元,3室1厅1卫,租赁方式未知,89㎡,4800,暂无数据,下城,中楼层/22层,朝南,有,暂无数据
整租 · 朝晖八区 两室一厅 楼层好 拎包入住,2室1厅1卫,整租,78㎡,4000,1~2年,下城,低楼层/7层,朝南,无,暂无数据
云天财富中心 1室0厅 3500元,1室0厅1卫,租赁方式未知,40㎡,3500,暂无数据,下城,中楼层/15层,朝南,有,暂无数据
合租 · 漾河公寓 4室1厅,4室1厅2卫,合租,12㎡,1400,3~12个月,下城,5/6层,朝东,无,租用车位
树园 2室0厅 3500元,2室0厅1卫,租赁方式未知,49㎡,3500,暂无数据,下城,中楼层/7层,朝南,无,暂无数据
双车位，拎包入住可随时入住，私密空间，房子就在市区,4室2厅1卫,租赁方式未知,311㎡,25000,暂无数据,下城,高楼层/33层,朝南,有,暂无数据
十五家园 2室1厅 6000元,2室1厅1卫,租赁方式未知,76㎡,6000,暂无数据,下城,中楼层/7层,朝南,无,暂无数据
汇融公寓 1室0厅 3200元,1室0厅1卫,租赁方式未知,33㎡,3200,暂无数据,下城,高楼层/18层,朝北,有,暂无数据
整租 · 远大花园 1室1厅 3500元,1室1厅1卫,整租,34㎡,3500,1~2年,下城,中楼层/6层,朝南,无,暂无数据
整租 · 简单的装修 不简单的价格 房东诚意出租 价格可聊,2室1厅1卫,整租,63㎡,2700,1~2年,下城,高楼层/7层,朝南 西,无,暂无数据
德胜东村 2室1厅 3600元,2室1厅1卫,租赁方式未知,60㎡,3600,暂无数据,下城,高楼层/6层,朝南,无,暂无数据
整租 · 北景园芳洲苑 2室2厅 3800元,2室2厅1卫,整租,90㎡,3800,1~2年,下城,中楼层/11层,朝南,有,暂无数据
整租 · 朝晖六小区两室一厅，精装修，家具家电齐*，拎包入住,2室1厅1卫,整租,57㎡,5200,1年以内,下城,中楼层/6层,朝南 北,无,暂无数据
整租 · 房子装修还不错，地段优越价格有点高 楼层采光也不错,3室2厅2卫,整租,139㎡,12000,1年以内,西湖,高楼层/18层,朝南,有,暂无数据
整租 · 高品质的房子，*边是西溪银泰城.,3室2厅2卫,整租,165㎡,15000,3年以上,西湖,低楼层/11层,朝东 南,有,免费使用
之江九里，婚房装修，拎包入住。,2室1厅1卫,租赁方式未知,89㎡,5300,暂无数据,西湖,中楼层/16层,朝南,有,暂无数据
整租 · 户型好，楼层好，板楼户型，采光充分,4室2厅2卫,整租,179㎡,7000,1~2年,西湖,高楼层/6层,朝南,无,暂无数据
曙光路121号 2室1厅 4500元,2室1厅1卫,租赁方式未知,51㎡,4500,暂无数据,西湖,低楼层/3层,朝南,无,暂无数据
整租 · 中 央空调带地暖，近首座西溪谷金色西溪，家具家电齐,3室2厅2卫,整租,138㎡,9200,1年以内,西湖,低楼层/15层,朝南,有,暂无数据
马也美上 1室1厅 3500元,1室1厅1卫,租赁方式未知,50㎡,3500,暂无数据,西湖,中楼层/12层,朝南,有,暂无数据
云溪印象 1室1厅 2600元,1室1厅1卫,租赁方式未知,41㎡,2600,暂无数据,西湖,中楼层/7层,朝北,无,暂无数据
整租 · 学院路99号 大三房 南北通透 交通便利,3室2厅1卫,整租,99㎡,5500,3年以上,西湖,高楼层/7层,朝南 北,无,暂无数据
翠苑三区 2室1厅 3400元,2室1厅1卫,租赁方式未知,61㎡,3400,暂无数据,西湖,中楼层/6层,朝南,无,暂无数据
整租 · 西湖区 新世纪花苑  大3房 2卫飞机户型,3室2厅2卫,整租,111㎡,4500,1年以内,西湖,高楼层/6层,朝南 北,无,暂无数据
整租 · 阳光花园别墅有车库有花园，清爽装修，业主推荐。 复式,8室2厅4卫,整租,252㎡,15000,1~2年,西湖,低楼层/3层,朝南 北,无,暂无数据
看房子，就来翠苑五区，翠苑五区欢迎您,2室2厅1卫,租赁方式未知,79㎡,4500,暂无数据,西湖,中楼层/7层,朝南,无,暂无数据
整租 · 翠苑一区 1室1厅 2600元,1室1厅1卫,整租,33㎡,2600,1年以内,西湖,中楼层/6层,朝南,无,暂无数据
整租 · 精装大三房，看房方便，拎包入住,3室2厅2卫,整租,140㎡,5500,1年以内,西湖,中楼层/14层,朝南 北,有,暂无数据
华苑公寓 2室1厅 3600元,2室1厅1卫,租赁方式未知,51㎡,3600,暂无数据,西湖,高楼层/6层,朝南,无,暂无数据
整租 · 秀里华庭 3室1厅,3室1厅2卫,整租,70㎡,3800,3~6个月,西湖,14/23层,朝南 北,暂无数据,免费使用
五洲国际广场 1室1厅 6500元,1室1厅1卫,租赁方式未知,64㎡,6500,暂无数据,西湖,中楼层/15层,朝南,有,暂无数据
马也美上 1室1厅 3300元,1室1厅1卫,租赁方式未知,50㎡,3300,暂无数据,西湖,低楼层/12层,朝南,有,暂无数据
整租 · 自住装修，客厅带阳台，紫藤苑两房你值得拥有,2室1厅1卫,整租,89㎡,4500,1年以内,西湖,高楼层/21层,朝南,有,暂无数据
整租 · 紫金公寓，清爽装修三房，楼层好，采光好不沿街,3室1厅1卫,整租,82㎡,6000,暂无数据,西湖,中楼层/7层,朝南,无,暂无数据
翠苑三区精装1居室！空置随时可入住！房东急租！诚租,1室1厅1卫,租赁方式未知,41㎡,3500,暂无数据,西湖,低楼层/6层,朝南,无,暂无数据
整租 · 黄龙雅苑，一室精装，朝南户型。,1室1厅1卫,整租,55㎡,4500,1年以内,西湖,低楼层/18层,朝北,有,暂无数据
嘉绿西苑小两房中间楼层，采光好,2室2厅1卫,租赁方式未知,72㎡,4500,暂无数据,西湖,中楼层/5层,朝南 北,无,暂无数据
整租 · 和家园大两房，家具家电齐*，有地暖，拎包入住！！,2室2厅1卫,整租,89㎡,5500,1~2年,西湖,高楼层/13层,朝南,有,暂无数据
整租 · 古荡温馨三房 户型方正 业主诚心出租 可以做员工宿舍,3室1厅1卫,整租,73㎡,4500,1~2年,西湖,高楼层/6层,朝南,无,暂无数据
整租 · 亚洲城花园 三房  业主诚心出租不可错过的好房,3室1厅2卫,整租,100㎡,5500,1~2年,西湖,中楼层/6层,朝南 北,无,暂无数据
整租 · 翠苑五区 2室1厅 4000元,2室1厅1卫,整租,77㎡,4000,1~2年,西湖,高楼层/7层,朝南,无,暂无数据
整租 · 多层电梯房 ，精装修，房东诚心出租,3室1厅2卫,整租,121㎡,8500,1年以内,西湖,低楼层/6层,朝南,有,暂无数据
融创东南海 3室2厅 4200元,3室2厅2卫,租赁方式未知,89㎡,4200,暂无数据,萧山,高楼层/27层,朝南,有,暂无数据
合租 · 奥兰多小镇 4室1厅,4室1厅2卫,合租,13㎡,1080,4~12个月,萧山,7/15层,朝北,有,租用车位
东方一号 4室2厅 16000元,4室2厅2卫,租赁方式未知,178㎡,16000,暂无数据,萧山,高楼层/23层,朝北,有,暂无数据
合租 · 众安朝阳8号 3室1厅,3室1厅1卫,合租,17㎡,1082,4~24个月,萧山,28/33层,朝南,暂无数据,租用车位
憬天国际名座 1室1厅 2100元,1室1厅1卫,租赁方式未知,46㎡,2100,暂无数据,萧山,中楼层/23层,朝南,有,暂无数据
恒泰御庭园 5室2厅 6800元,5室2厅2卫,租赁方式未知,144㎡,6800,暂无数据,萧山,高楼层/6层,朝南 北,无,暂无数据
德圣博奥城 3室1厅 5300元,3室1厅1卫,租赁方式未知,65㎡,5300,暂无数据,萧山,高楼层/30层,朝南,有,暂无数据
北干二苑 3室1厅 3800元,3室1厅1卫,租赁方式未知,90㎡,3800,暂无数据,萧山,未知/0层,朝南,无,暂无数据
合租 · 威尼斯水城 4室1厅,4室1厅2卫,合租,25㎡,1550,4~12个月,萧山,5/5层,朝南,无,租用车位
合租 · 丰瑞北苑 4室1厅,4室1厅2卫,合租,18㎡,1800,4~24个月,萧山,9/16层,朝南,有,租用车位
整租 · 精装套房，诚心出租。接受短租！,1室1厅1卫,整租,47㎡,3300,1年以内,萧山,中楼层/24层,朝南,有,暂无数据
合租 · 同和公寓 5室1厅,5室1厅2卫,合租,16㎡,1620,4~12个月,萧山,6/6层,朝南,无,租用车位
合租 · 阳光城上府 4室1厅,4室1厅2卫,合租,14㎡,1588,4~12个月,萧山,33/36层,朝南,有,租用车位
合租 · 中国铁建江南国际城 5室1厅,5室1厅2卫,合租,12㎡,1333,4~12个月,萧山,8/24层,朝北,暂无数据,租用车位
合租 · 顺丰家园 4室1厅,4室1厅2卫,合租,12㎡,1284,4~12个月,萧山,2/6层,朝北,无,租用车位
合租 · 顺发美哉美城 4室1厅,4室1厅2卫,合租,16㎡,1650,4~24个月,萧山,2/10层,朝南,有,租用车位
合租 · 丰东花苑 4室1厅,4室1厅2卫,合租,18㎡,1850,4~24个月,萧山,10/16层,朝南,暂无数据,租用车位
合租 · 琅琴湾 4室1厅,4室1厅2卫,合租,18㎡,1100,4~24个月,萧山,26/32层,朝南,暂无数据,租用车位
顺丰家园 3室1厅 4800元,3室1厅1卫,租赁方式未知,65㎡,4800,暂无数据,萧山,中楼层/6层,朝南 北,无,暂无数据
中誉万豪广场 2室1厅 3900元,2室1厅1卫,租赁方式未知,80㎡,3900,暂无数据,萧山,中楼层/26层,朝南,有,暂无数据
众安嘉润公馆 1室1厅 4500元,1室1厅1卫,租赁方式未知,65㎡,4500,暂无数据,萧山,中楼层/30层,朝南,有,暂无数据
金昌春和钱塘 3室1厅 6000元,3室1厅1卫,租赁方式未知,87㎡,6000,暂无数据,萧山,高楼层/19层,朝南 北,有,暂无数据
君悦丽景两居室100方家装标准，以前没出租过,2室2厅1卫,租赁方式未知,101㎡,5000,暂无数据,萧山,高楼层/24层,朝南,有,暂无数据
丽晶国际 2室2厅 8000元,2室2厅2卫,租赁方式未知,83㎡,8000,暂无数据,萧山,高楼层/39层,朝南,有,暂无数据
德圣博奥城 3室1厅 5600元,3室1厅1卫,租赁方式未知,90㎡,5600,暂无数据,萧山,低楼层/30层,朝南,有,暂无数据
戈雅公寓，东边套纯毛坯，带有连体大阳台,3室2厅2卫,租赁方式未知,165㎡,5000,暂无数据,萧山,高楼层/32层,朝东,有,暂无数据
整租 · 华瑞晴庐品质小区，家具家电齐*，拎包入住,2室2厅1卫,整租,93㎡,5300,2~3年,萧山,高楼层/18层,朝南 北,有,暂无数据
顺丰家园 3室1厅 4700元,3室1厅1卫,租赁方式未知,60㎡,4700,暂无数据,萧山,中楼层/6层,朝南,无,暂无数据
萧山宝龙城市广场 1室1厅 3000元,1室1厅1卫,租赁方式未知,40㎡,3000,暂无数据,萧山,高楼层/27层,朝东,有,暂无数据
合租 · 胜稼红星嘉园二区 3室1厅,3室1厅2卫,合租,18㎡,1550,4~12个月,余杭,3/15层,朝南,暂无数据,免费使用
合租 · 胜稼红星嘉园二区 3室1厅,3室1厅2卫,合租,17㎡,1600,4~12个月,余杭,3/15层,朝南,暂无数据,免费使用
万科北宸之光 3室1厅 4200元,3室1厅1卫,租赁方式未知,89㎡,4200,暂无数据,余杭,低楼层/28层,朝南,有,暂无数据
CBC装修好，交通便利,1室1厅1卫,租赁方式未知,35㎡,2300,暂无数据,余杭,高楼层/23层,朝北,有,暂无数据
青枫墅园 3室2厅 2700元,3室2厅1卫,租赁方式未知,89㎡,2700,暂无数据,余杭,低楼层/32层,朝南 北,有,暂无数据
华元欢乐城 3室1厅 3600元,3室1厅1卫,租赁方式未知,87㎡,3600,暂无数据,余杭,中楼层/26层,朝南,有,暂无数据
赞成首府 3室2厅 2300元,3室2厅2卫,租赁方式未知,125㎡,2300,暂无数据,余杭,低楼层/18层,朝南,暂无数据,暂无数据
大美公寓 2室2厅 4500元,2室2厅1卫,租赁方式未知,82㎡,4500,暂无数据,余杭,中楼层/18层,朝南,有,暂无数据
整租 · 此房户型正气两室，地铁口300米,2室2厅1卫,整租,91㎡,4000,1~2年,余杭,中楼层/6层,朝南 北,无,租用车位
合租 · 莱蒙水榭春天 4室2厅,4室2厅1卫,合租,14㎡,2090,1~2年,滨江,12/33层,朝南,暂无数据,暂无数据
整租 · 江滨澜廷 1室1厅 6500元,1室1厅1卫,整租,48㎡,6500,1年以内,滨江,低楼层/24层,朝南,有,暂无数据
合租 · 绿地旭辉城 4室1厅,4室1厅1卫,合租,5㎡,1430,1~2年,滨江,7/47层,朝北,暂无数据,暂无数据
整租 · 绿地旭辉城 精装带地暖 一梯一户 私密性强,3室1厅2卫,整租,138㎡,10000,1~2年,滨江,低楼层/49层,朝南,有,暂无数据
天鸿君邑 3室2厅 7500元,3室2厅2卫,租赁方式未知,137㎡,7500,暂无数据,滨江,低楼层/31层,朝南 北,有,暂无数据
合租 · 寰宇天下 5室2厅,5室2厅2卫,合租,13㎡,2460,1~2年,滨江,7/30层,朝南,暂无数据,暂无数据
合租 · 缤纷小区 4室1厅,4室1厅1卫,合租,10㎡,1681,1~2年,滨江,2/6层,朝南,暂无数据,暂无数据
