name,type,price,star,comment,taste,env,service,recommend.0,recommend.1,recommend.2,zone,address
华莱士,西餐,￥15,准四星商户,15.0,7.7,7.8,7.6,辣子鸡块,香辣鸡腿汉堡,香酥炸鸡腿,西溪银泰城,双龙街西溪银泰城
芝心乐现烤披萨(万达金街店),西餐,,准四星商户,9.0,7.6,7.6,7.5,黄金芝士卷心披萨,风情拉美鸡披萨,莲子山楂披萨,万达广场,万达商业中心2幢124室
MEX&CO(龙湖滨江天街店),西餐,,准四星商户,1.0,7.0,7.0,7.0,,,,开发区/高教园,江汉路1515号龙湖天街6F-01
必胜客宅急送(江虹路店),西餐,￥51,准四星商户,14.0,7.4,7.4,7.7,田园风光比萨,新奥尔良风味鸡翅,美式土豆培根比萨,开发区/高教园,东冠恒鑫大厦东冠恒鑫大厦江南大道588号东冠大厦1楼
联豪牛排(江南时代店),西餐,,准四星商户,13.0,7.0,6.9,7.0,菲力牛排,T骨牛排,鸡翅,老余杭,禹航路江南时代二楼
芝族派,西餐,,四星商户,369.0,8.2,8.1,8.2,奶茶,双皮奶,鲜奶蘑菇酱焗饭,横凉亭路,金桥南路4-15号
叉子汤勺(钱江新城店),西餐,,准四星商户,6.0,7.6,7.7,7.7,慢火牛筋肉轻食餐,慢火牛筋肉烤卷,鲜虾鲷鱼意面沙拉,钱江新城,新塘路58号
郑鑫记汉堡,西餐,,准四星商户,3.0,7.4,7.4,7.7,秘制鸡翅尖,香辣鑫鸡排,雪碧,朝晖地区,朝晖路166-2旁
蜜哆哆炸鸡(湖墅店),西餐,￥18,准四星商户,23.0,7.7,7.6,7.9,韩式甜辣味炸鸡,甜辣味无骨香酥鸡,芝士撒粉味炸鸡,高新文教区,湖墅南路280-1号
港堡汉堡(西溪银泰店),西餐,,四星商户,19.0,8.1,7.9,8.3,老北京龙卷风,好翅堡,脆皮大鸡腿,西溪银泰城,双龙街西溪银泰商业中心2号楼东楼202号
尊宝比萨(长河路水印城店),西餐,￥28,四星商户,352.0,8.0,7.9,7.9,超级豪华比萨,香草凤尾虾,飘香榴莲比萨,开发区/高教园,长河路1434号
Mr Pizza 纯手工披萨,西餐,￥79,准四星商户,1.0,7.2,7.2,7.2,卤鸡腿,特色豆腐年糕,哇哈哈哈哈哈哈哈AD钙奶,拱宸桥/上塘,七古路90号A区09号
蔬藜沙拉,西餐,￥40,准四星商户,33.0,7.4,7.2,7.1,有点辣的黑椒小牛沙拉,泰式柠檬鸡藜麦沙拉,安格斯肉眼牛肉秋葵暖沙拉,萧山区,山阴路恒隆广场三楼
米兔沙拉(新天地店),西餐,￥43,准四星商户,49.0,6.9,7.2,7.0,经典沙拉,吞拿鱼沙拉,芒果金枪鱼沙拉,新天地,下石桥街道石祥路杭州新天地世嘉新座5幢商7号
朕享享e厨房,西餐,￥62,三星商户,63.0,6.4,6.6,6.5,黑松露温泉蛋披萨,意大利罗勒香肠,苏丹王榴莲披萨,新塘路/秋涛路沿线,艮山西路102号杭州创意设计中心B幢1006室
公牛太狼牛排·比萨,西餐,￥59,准四星商户,41.0,7.1,7.1,7.3,土耳其牛排,牛排披萨,冰淇淋,闻堰,万达中路169号
慕玛披萨意面焗饭(和瑞店),西餐,￥52,四星商户,38.0,7.7,7.6,7.8,川香麻辣棒棒腿,美式风情土豆培根披萨,牛肉bbq披萨,开发区/高教园,长江路1911号博邑商业中心商铺29号
玛格利塔(金盛嘉悦广场店),西餐,,准四星商户,16.0,7.1,7.5,7.1,披萨配蛋挞,个人装巴西烤肉披萨,培根比萨,开发区/高教园,浦沿街道东冠路611号金盛嘉悦广场一层
沙拉拉轻食(钱江世纪店),西餐,,准四星商户,5.0,7.5,7.5,7.5,草莓燕麦酸奶粥,蜂蜜芥末酱,鸡肉核桃沙拉,市心北路,宁围街道皓月路159号-7
江户前寿司(黄龙店),日本菜,￥371,五星商户,835.0,9.1,9.2,9.1,刺身,一口鹅肝寿司,厚切三文鱼,西湖北线/黄龙,曙光路49号黄龙饭店对面
七条鱼·日料美人胶原锅(三墩店),日本菜,￥135,五星商户,555.0,9.0,9.2,9.3,三文鱼盖饭,美人胶原锅,土豆色拉,三墩镇,厚仁路265号香港城新天地5栋1楼
藏日本料理,日本菜,￥240,五星商户,712.0,9.1,9.1,9.2,蟹宝,鹅肝寿司,火焰鹅肝手握,武林广场,武林路桃花河弄11号（国大城市广场西门300米，杭州大厦200米）
AJIYA味屋日式烧肉(开元路店),日本菜,￥192,五星商户,1034.0,9.1,9.1,9.1,横膈膜,特选牛小排,日式葱鲜鸡蛋饭,吴山广场/河坊街,吴山开元路75号
花隐日式怀石料理(嘉里中心店),日本菜,￥383,五星商户,2307.0,9.1,9.2,9.2,原块鹅肝佐慕斯,松茸牛肉汤,岩烧雪花牛小排,凤起路沿线,延安路353号嘉里中心5层511
花隐日式怀石料理(万象城购物中心店),日本菜,￥373,五星商户,4103.0,9.1,9.2,9.1,石锅松露牛肉汤,珍选原块鹅肝佐慕斯,岩烧雪花牛小排,钱江新城,富春路701号万象城购物中心L3层L3021号商铺
上越料理(天虹店),日本菜,￥93,五星商户,2301.0,8.9,9.1,9.1,和风鳗鱼卷,三文鱼刺身,泡菜牛肉锅,城东,新塘路108号天虹购物中心B座5层B508号
怀谷居酒屋(青芝坞店),日本菜,￥128,五星商户,452.0,8.9,9.2,9.1,法式鹅肝,三文鱼,原汁牛舌,西湖北线/黄龙,青芝坞兰家湾55号
铁人黑牛の店·日式炭火烤肉(下沙店),日本菜,￥128,准五星商户,298.0,8.7,9.1,9.1,黑牛雪花肋条,韩式猪五花,牛肉粒,下沙,高沙商业街学林街1128号都尚超市麦当劳侧面
和萌吉烧肉屋(中山北路店),日本菜,￥164,五星商户,906.0,9.1,9.0,8.7,罐腌小牛排,招牌厚切牛舌,罐腌横膈膜,武林广场,中山北路417号
いば昇  昇鰻魚家(国大城市广场店),日本菜,￥161,准五星商户,682.0,8.8,9.0,9.0,高档鳗鱼饭,煎牛舌,名古屋风味柴鱼渍烤鳗鱼饭,武林广场,延安路609号国大城市广场906
御牛道日式料理炭火烤肉(西溪印象城店),日本菜,,该商户暂无星级,,,,,传统雪花西冷,雪花中落小排,,西溪印象城,五常大道3号西溪印象城B座3F-03
酒川日本料理·居酒屋,日本菜,￥119,五星商户,213.0,9.1,9.2,9.2,鹅肝牛油果寿司,香煎牛舌,芥末脆章鱼,建国路沿线,刀茅巷57号
轻井泽精致料理(莲花街店),日本菜,￥129,准五星商户,1743.0,8.8,9.0,9.0,火炙三文鱼寿司,三文鱼刺身,脆脆三文鱼卷,古墩路沿线,莲花街嘉绿景苑东园11幢3号商铺
51NB 日料烧烤居酒屋(西溪银泰店),日本菜,￥104,五星商户,585.0,9.0,9.2,9.1,三文鱼手握,香芒水果卷,招牌牛丼饭,西溪,紫霞街80号
三丼屋日本料理,日本菜,￥67,准五星商户,1310.0,8.6,8.8,8.9,蛋包饭,黄油蘑菇蛋包饭定食,咖喱牛肉套餐,湖滨,平海路53号友好饭店西侧板桥路
轻井泽精致料理(西溪诚品店),日本菜,￥144,准五星商户,729.0,8.9,9.2,9.0,刺身拼盘,三文鱼刺身,鹅肝寿司,西溪,紫霞街155号
七条鱼·日料美人胶原锅(汇和城新风路店),日本菜,￥135,五星商户,592.0,9.0,9.1,9.1,三文鱼盖饭,芒果鳗鱼寿司,鹅肝寿司,天城路沿线,新风路与麦庙街交叉口西北角汇和城1层
鱼禅,日本菜,￥196,五星商户,412.0,9.0,9.0,9.0,浓厚鹅肝海胆蒸蛋,牛肠锅,鹅肝手握,解放路沿线,中山中路360号
鱼舍日式料理(青芝坞店),日本菜,￥150,五星商户,965.0,9.0,9.2,9.1,鹅肝寿司,甜虾三文鱼,秘制七味牛舌,西湖北线/黄龙,玉古路青芝坞入口右侧河边第一排
本格寿司,日本菜,￥657,五星商户,223.0,9.2,9.3,9.3,鹅肝寿司,籽蟹,活海胆,开发区/高教园,丹枫路1075号浙商大酒店南侧底商
户奈·居酒屋(文新店),日本菜,￥106,准五星商户,50.0,8.9,9.0,9.0,厚切酱烤牛舌,寿喜肥牛卷,烤鸡皮,高新文教区,文三路252号一楼
满满初牛(国大店),日本菜,￥124,五星商户,4028.0,9.0,9.0,9.1,厚切牛排饭,温泉蛋,紫苏虾球,武林广场,延安路609号国大城市广场6楼
初·居食屋(中山北路店),日本菜,￥115,五星商户,3823.0,9.1,8.6,9.1,法式鹅肝手握,鳗鱼饭,玻璃虾手握,凤起路沿线,中山北路220号
竹哩(滨江店),日本菜,￥386,五星商户,2586.0,9.0,9.3,9.1,鹅肝,厚三文鱼,海胆,星光大道,科技馆街1505号凯瑞金座三楼
七条鱼·日料美人胶原锅(益乐店),日本菜,￥165,五星商户,804.0,9.0,8.8,9.1,三文鱼盖饭,鹅肝寿司,芒果鳗鱼寿司,高新文教区,益乐路75号
七条鱼·日料美人胶原锅(中山中路店),日本菜,￥153,五星商户,372.0,9.1,9.0,9.3,美人胶原锅,三文鱼盖饭,酸奶酒,湖滨,中山中路541号
骏河日本料理烤肉(湖滨银泰in77店),日本菜,￥189,五星商户,2155.0,9.0,9.0,9.1,抹茶布丁,灵魂外群肉,上等牛小排,湖滨,吴山路59号湖滨银泰in77C3区1层
御牛道日式料理炭火烤肉(万象城购物中心店),日本菜,￥169,五星商户,1909.0,9.1,9.0,9.0,特上牛小排,特等玫瑰牛舌,法式鹅肝手握寿司,钱江新城,富春路701号万象城购物中心B2-87
绿辣鲷鱼料理·匠心于鱼的情怀,日本菜,￥164,五星商户,642.0,9.1,9.1,9.1,鲷鱼三吃,芒果鹅肝寿司,三文鱼刺身 （厚七切）,南山路,清波街122号南山路桔子水晶酒店一楼
藤井日本料理(下沙宝龙店),日本菜,￥64,准五星商户,384.0,8.6,8.6,9.1,海鲜玉子烧,芒果鳗鱼卷,土豆沙拉,下沙,宝龙城市广场一期东区282号商铺
弘·和牛烧物,日本菜,￥357,五星商户,183.0,9.0,9.3,9.2,M12和牛一口饭,每日限定和牛五种组合,黄金泡菜,武林广场,武林广场11号杭州大厦中央广场B1层142号 哥老官斜对面
牛匠鱼住日本料理炭火烤肉(滨江店),日本菜,￥137,五星商户,410.0,8.8,9.0,9.1,带骨牛小排,三文鱼刺身,汁烧牛肉饭,星光大道,江南大道618号东冠大厦背面1层星巴克旁
浅草屋寿司(宝龙一号店),日本菜,￥70,五星商户,2556.0,9.1,9.0,9.0,芒果鳗鱼加州,海鲜玉子烧,海草,下沙,学府街宝龙城市二期27幢108商铺
三禾屋(梦想小镇店),日本菜,￥86,五星商户,383.0,9.1,9.0,9.1,土豆沙拉,鳗鱼饭,鹅肝寿司,余杭区,仓兴街233号亿超眼镜对面
逸隐日本料理,日本菜,￥202,五星商户,348.0,9.0,9.1,9.2,清酒鹅肝,自酿米酒,肥牛石锅饭定食,城站火车站,斗富二桥65-1号
浅草屋寿司(福雷德店),日本菜,￥76,五星商户,872.0,9.1,9.1,9.0,芒果鳗鱼加州,抹茶布丁,海鲜玉子烧,下沙,文泽路福雷德西门外围109-17食其家隔壁
雲霞大阪烧,日本菜,￥93,五星商户,76.0,9.0,9.1,9.1,猪肉大阪烧,香芒鹅肝手握,三文鱼刺身,下沙,金沙大道晓城天地商业中心2幢自游港广场潮玩馆一楼
山葵家精致料理寿司吧(远洋乐堤港店),日本菜,￥164,五星商户,977.0,9.1,9.2,9.2,三文鱼腩七切,秋天童话,布丁,大关,丽水路58号远洋乐堤港国际Yeah街区C138-C231
牛炉元气炭火烧肉,日本菜,￥138,五星商户,876.0,9.1,9.1,9.0,精选雪花牛小排,牛肉石锅拌饭,厚切牛舌,湖滨,长生路54号
浅草屋寿司(星耀城店),日本菜,￥78,准五星商户,544.0,9.0,8.7,9.0,抹茶布丁,海鲜玉子烧,芒果鳗鱼加州,开发区/高教园,丹枫路星耀城二期1-111号
鮨·六月,日本菜,￥286,五星商户,194.0,9.1,9.2,9.1,星鳗手握,芝士豆腐,鳗鱼饭,城西银泰,丰潭路370-2号
寿司巅,日本菜,￥247,五星商户,105.0,9.3,9.1,9.2,星鳗寿司,蓝鳍金枪鱼大腹寿司,醋冻松叶蟹,开发区/高教园,闻涛路星光大道2期3楼
牛匠鱼住日本料理炭火烤肉(西溪店),日本菜,￥142,五星商户,176.0,8.8,8.8,8.9,澳洲和牛小排,特上牛小排,梅子酒,西溪,崇仁路247号中节能西溪首座
原来你也在这里,日本菜,￥92,准五星商户,471.0,8.6,8.9,8.7,牛肉寿喜锅,日式炸鸡块,京葱鸡肉串,德胜路沿线,上塘路330号乔美快捷酒店旁
浅草屋寿司(龙湖滨江天街铂金岛店),日本菜,￥87,五星商户,395.0,9.0,9.0,9.1,海鲜玉子烧,芒果鳗鱼加州,抹茶布丁,滨江天街,龙湖滨江天街铂金岛一楼142号
Sweating Sparrow 出汗麻雀 烧&鸟居酒屋,日本菜,￥119,五星商户,134.0,9.0,9.1,9.2,鹅肝小排饭,烤五花肉,芥末章鱼,西溪银泰城,弘德路西溪银泰城2号楼东201
御牛道日式料理炭火烤肉(黄龙恒励大厦店),日本菜,￥183,五星商户,2051.0,9.1,9.0,9.0,特上牛小排,特等玫瑰牛舌,法式鹅肝手握寿司,西湖北线/黄龙,黄龙路5号黄龙恒励大厦一层A2座
舞麦(中山北路店),日本菜,￥90,五星商户,606.0,8.9,9.0,9.2,鳗鱼饭,鹅肝手握,三文鱼刺身,凤起路沿线,中山北路185号
山葵家精致料理寿司吧(嘉里中心店),日本菜,￥153,五星商户,5471.0,9.0,9.2,9.0,刺身,秋天童话,鹅肝芒果手握,凤起路沿线,延安路385号嘉里中心3幢3楼302
御牛道日式料理炭火烤肉(永旺梦乐城店),日本菜,￥136,准五星商户,332.0,8.6,8.6,8.7,特上牛小排,雪花中落小排,玫瑰牛舌,永旺梦乐城,古墩路1888号永旺梦乐城二楼2F-62
飞鳥·居酒屋 深夜食堂(天虹购物中心店),日本菜,￥102,准五星商户,187.0,8.8,9.1,9.1,刺身三种,芝麻八爪鱼,飞鸟沙拉,新塘路/秋涛路沿线,新塘路景芳地铁站D2出口地下一层
板前屋(武林路店),日本菜,￥115,准五星商户,1238.0,8.8,9.0,9.0,鳗鱼饭,海鲜粥,鹅肝寿司,武林广场,武林路桃花河弄40号
御牛道日式料理炭火烤肉(龙湖滨江天街店),日本菜,￥164,五星商户,847.0,9.0,9.1,9.0,雪花中落小排,特上牛小排,韩式五花肉,滨江天街,江汉路1515号龙湖滨江天街4F-06
山葵家精致料理寿司吧(龙湖杭州金沙天街店),日本菜,￥155,五星商户,2001.0,8.8,9.1,9.0,三文鱼牛油果反卷,秋天童话,鹅肝芒果手握,下沙,金沙大道金沙湖CBD龙湖时代天街1楼3号入口处
黑牛の店(万象汇店),日本菜,￥177,准五星商户,256.0,8.9,9.0,9.0,和牛眼肉,黑牛横膈膜,烤肉,北干,金城路927号杭州万象汇5层L551号
LINKS日式料理,日本菜,￥192,五星商户,256.0,9.1,9.2,9.2,鹅肝寿司,火炙星鳗寿司,比目鱼裙边寿司,西湖北线/黄龙,黄龙万科中心G座底商侨治右边
甘庐(龙井店),日本菜,￥345,准五星商户,1112.0,8.1,9.2,9.0,多宝鱼裙边寿司,茶冻,综合刺身,龙井/虎跑,翁家山村268号中国茶业博物馆龙井馆区B3栋
元气食堂(湖墅南路店),日本菜,￥39,准五星商户,472.0,8.8,8.7,9.0,咖喱鸡排饭套餐,鳗鱼饭,咖喱猪排饭,湖墅南路,湖墅南路97号
蟹的岡田屋(工联CC店),日本菜,￥441,五星商户,161.0,9.3,9.4,9.4,雪蟹锅（1只蟹）,蟹的岡田屋品类全拼,名物蟹肉蒸蛋,湖滨,延安路292号工联CC4楼410-411号
月龍吟,日本菜,￥368,五星商户,88.0,9.2,9.4,9.3,蓝鳍金枪鱼中腹,鹅肝,海胆,钱江新城,杭州市江干区民心路280号平安金融中心悦坊四楼401-402
山葵家精致料理寿司吧(湖滨银泰in77店),日本菜,￥150,五星商户,5688.0,8.9,9.1,9.1,三文鱼刺身,秋天童话,牛油果反卷,湖滨,延安路255号2幢103室
紫樱花熟成澳牛炭烧日料自助(十五年匠心店),日本菜,￥244,准五星商户,729.0,8.6,8.6,8.9,火灸三文鱼卷,烤肉拼盘,鹅肝手握寿司,平海路,中河中路228号
御牛道日式料理炭火烤肉(国大城市广场店),日本菜,￥172,五星商户,1534.0,9.1,9.1,9.0,特上牛小排,特等玫瑰牛舌,饕餮四点拼盘,武林广场,延安路609号国大城市广场9层3号
食一料理·15年的日料情怀(春晓路店),日本菜,￥140,准五星商户,246.0,8.5,8.6,8.3,玉子牛肉锅,特制芝士海鲜酱焗薯茸,食一荞麦烧饼,开发区/高教园,春晓路229号
御牛道日式料理炭火烤肉(城西银泰店),日本菜,￥173,五星商户,186.0,9.1,9.2,9.1,雪花中落小排,特等玫瑰牛舌,法式鹅肝手握寿司,城西银泰,丰潭路380号城西银泰城1F-86
浅草屋寿司(湖墅南路店),日本菜,￥89,五星商户,631.0,9.0,8.7,8.8,芒果鳗鱼加州,海鲜玉子烧,土豆泥,湖墅南路,湖墅南路413-2号
加奈日本料理,日本菜,￥169,五星商户,61.0,9.2,9.1,9.2,紫苏银鱼卷天妇罗,大马粪海胆刺身,梅子煮秋刀鱼,西湖北线/黄龙,西溪路420号
割烹·玺,日本菜,￥232,五星商户,254.0,9.2,9.2,9.2,芝士豆腐,牡丹虾,盐烤鲭鱼,下城区,头营巷18号
山葵家精致料理寿司吧(杭州大厦坤和店),日本菜,￥159,五星商户,4573.0,9.0,9.1,9.1,刺身,牛油果反卷,秋天童话,湖墅南路,环城北路208号杭州大厦坤和中心1楼
山葵家精致料理寿司吧(滨江宝龙店),日本菜,￥144,五星商户,1011.0,8.9,9.0,8.8,三文鱼刺身,牛油果反卷,厚切三文鱼,滨江宝龙城,浦沿街道滨盛路3687号宝龙城3幢101-8室
曼殊怀石料理,日本菜,￥1868,五星商户,490.0,9.0,9.4,9.3,松阪和牛,金枪鱼牡丹虾刺身,伊视龙虾天妇罗,龙井/虎跑,八盘岭路1-1号紫萱度假村内
鲔吞味自慢日本料理(萧山店),日本菜,￥183,五星商户,117.0,9.1,9.3,9.3,刺身拼盘三拼,芒果鹅肝寿司,炸鸡块,北干,市心中路818号
燒貨·和牛烧肉专门店(湖墅南路店),日本菜,￥153,四星商户,1094.0,8.5,8.4,8.2,烧货牛小排,上等和牛牛舌,传统牛小排,湖墅南路,湖墅南路8号
日臻料理屋·本物料理,日本菜,￥126,五星商户,243.0,9.1,9.2,9.2,大虾海胆蒸蛋,飞跃CBD,刺身三拼,新塘路/秋涛路沿线,新塘路342号华辰银座酒店一楼
山葵家精致料理寿司吧(运河店),日本菜,￥160,五星商户,2720.0,9.0,9.2,9.0,火烧三文鱼芝士卷,秋天童话,刺身,拱宸桥/上塘,桥西直街5号
鮨清日本料理,日本菜,￥276,五星商户,584.0,9.2,9.1,9.3,金枪鱼泥饭,芝士豆腐,鹅肝寿司,凤起路沿线,屏风街1号
红阳日式料理(中大银泰店),日本菜,￥101,五星商户,279.0,9.1,9.2,9.3,海鲜玉子烧,芒果鳗鱼加州卷,和风豆腐,中大银泰,中大银泰城望景酒店楼下
湖月·割烹料理(湖滨店),日本菜,￥495,五星商户,275.0,8.7,9.3,9.0,天妇罗拼盘,活鳗鱼蒲烧,秘制牛舌,湖滨,平海路53号友好饭店18楼
久赞深海水產·寿司(远洋乐堤港店),日本菜,￥102,准五星商户,970.0,8.8,8.9,8.8,三文鱼刺身,鳗鱼手握寿司卷,豚骨拉面,大关,丽水路58号远洋乐堤港四楼A404
彩未·北海道汤咖喱,日本菜,￥68,准五星商户,324.0,8.4,9.0,8.8,低温炸雪花猪排,马萨拉慢煎鸡腿,慢炖浓香牛腩,庆春路沿线,中山北路37号
初·居食屋(立元大厦店),日本菜,￥93,准五星商户,318.0,8.7,8.8,9.0,鹅肝手握,鳗鱼饭,三文鱼牛油果沙拉,高新文教区,教工路88号立元大厦102室
泽川创作料理(凤起店),日本菜,￥100,准五星商户,2765.0,8.7,8.5,8.3,法式焗虾,海贼王,三文鱼刺身,凤起路沿线,凤起路539号
井一町精致日料,日本菜,￥93,五星商户,56.0,9.0,9.0,9.0,法式鹅肝手握,三文鱼六味火炙（6贯）,三文鱼刺身（5切）,建国路沿线,建国北路455号
初·居食屋(西湖天地店),日本菜,￥90,准五星商户,1815.0,8.8,8.9,8.7,法式鹅肝手握,鳗鱼饭,玻璃虾手握,南山路,湖滨街道杭州西湖风景名胜区西湖天地内
いば昇昇鰻魚家(万象城购物中心店),日本菜,￥153,准五星商户,304.0,8.7,8.6,8.8,高档鳗鱼饭,名古屋风味柴鱼渍烤鳗鱼饭,煎牛舌,钱江新城,万象城购物中心B1层B1S85商铺
萤初·炉端烧(星光大道店),日本菜,￥199,五星商户,363.0,9.0,9.3,9.2,萤初销魂饭,三文鱼刺身,刺身拼盘,开发区/高教园,丹枫路1075号雪峰银座1楼
初·居食屋(孩儿巷店),日本菜,￥106,五星商户,1119.0,9.1,8.7,9.0,法式鹅肝手握,鳗鱼饭,玻璃虾手握,凤起路沿线,孩儿巷224号
山葵家精致料理寿司吧(来福士中心店),日本菜,￥158,五星商户,2788.0,9.0,9.2,9.0,刺身,秋天童话,牛油果反卷,钱江新城,新业路228号杭州来福士中心03层02号
伊川日式烧肉吧(万象汇·食通天店),日本菜,￥108,五星商户,247.0,9.1,9.1,9.1,牛肋条,日式猪五花,肥牛石锅拌饭,万象汇,金城路927号杭州万象汇5层L501号
鮨秋·柳营,日本菜,￥1091,五星商户,72.0,9.3,9.4,9.4,琵琶虾,真鲷刺身,迷你海鲜盖饭,湖滨,柳营路5号-2
千霸冲绳料理,日本菜,￥140,准五星商户,990.0,8.5,8.8,8.4,厚切牛舌,冲绳牛肉蛋包,鹅肝炒饭,湖滨,板桥路3号友好饭店旁
喜豚亚洲猪排专门店(远洋乐堤港店),日本菜,￥60,准五星商户,1308.0,8.4,9.0,8.9,猪排套餐,黑豚猪肉盖饭,豚骨拉面,大关,丽水路58号远洋乐堤港负一楼A012号
和萌吉烧肉屋(平海路店),日本菜,￥226,五星商户,2424.0,9.1,8.9,8.9,罐腌牛小排,厚切牛舌,和萌牛肉大拼盘,平海路,平海路68号
無柚·烧肉專门店,日本菜,￥189,五星商户,148.0,9.0,9.1,9.1,墨鱼香肠,麻薯,鸡汤,庆春路沿线,武林路9号 WAKE TOWN商业街C幢105室
皇室炙日式炭火烧鸟居酒屋,日本菜,￥117,五星商户,1232.0,9.0,8.7,9.1,人气炭烤牛舌,鸡脆骨,鹅肝手握寿司,凤起路沿线,中山北路187号
热血兄弟(嘉德店),日本菜,￥116,五星商户,440.0,9.0,9.0,9.1,热血横膈膜,壶装牛肋条,牛香葱拌饭,庆春路沿线,庆春路128号嘉德广场内（热血兄弟神田川美食集合店）
牛匠鱼住日本料理炭火烤肉(野风店),日本菜,￥133,准五星商户,1212.0,8.7,9.0,8.9,极品牛小排,薄切牛舌,牛匠密坛肉,和平广场,绍兴路161号野风现代中心南楼1楼
御牛道日式料理炭火烤肉(二圣庙店),日本菜,￥164,五星商户,6673.0,9.1,9.0,9.0,特上牛小排,牛舌三点拼盘,雪花牛腩,凤起路沿线,中山北路二圣庙前54号
初·居食屋(湖墅南路店),日本菜,￥99,准五星商户,370.0,9.0,8.8,8.9,鹅肝手握,鳗鱼饭,三文鱼五切,湖墅南路,湖墅南路37号半道红小区底商
山葵家精致料理寿司吧(滨江龙湖天街店),日本菜,￥159,五星商户,748.0,8.9,9.2,9.0,秋天童话,鳗鱼盖饭,刺身,开发区/高教园,长河街道江汉路1515号龙湖天街商业中心1幢601-608室
浅草屋寿司(拱墅万达店),日本菜,￥101,五星商户,87.0,9.2,9.2,9.1,芝士焗蟹宝,香煎松板肉,抹茶布丁,万达广场,祥庆路万达步行街东区2幢131
小林刺身(中山北路店),日本菜,￥119,准五星商户,719.0,8.9,9.0,9.0,鹅肝寿司,三文鱼刺身,烤牛舌,武林广场,中山北路421-1号
赤九居酒屋(铂金岛店),日本菜,￥126,准五星商户,228.0,8.2,8.7,8.9,赤九招牌寿司,寿喜锅,蛋黄酱焗大虾,滨江天街,龙湖滨江天街铂金岛一楼2-111
sukisuki极致烧物(汇金中心店),日本菜,￥293,五星商户,431.0,9.1,9.3,9.2,和牛套餐,焦糖布丁,台湾香肠,北干,金城路182号汇金中心B座3F
蘭Lanhouse·海鲜日料自助,日本菜,￥227,四星商户,747.0,8.3,8.7,8.6,三文鱼,炸芝士大虾,牡丹虾,滨江宝龙城,滨盛路3867号宝龙城市广场四楼北区外婆家旁
红阳日式料理(香积寺路店),日本菜,￥87,五星商户,451.0,9.1,9.0,9.2,海鲜玉子烧,芒果鳗鱼加州卷,味增汤,朝晖地区,香积寺路174-1号
王鼎精致料理(杭州大厦店),日本菜,￥351,五星商户,1720.0,8.9,9.1,9.0,刺身拼盘,海胆刺身,铁板鹅肝,武林广场,环城北路武林广场1号杭州大厦购物城B座9楼
红阳日式料理(太平门直街店),日本菜,￥98,五星商户,1556.0,9.0,8.7,9.1,海鲜玉子烧,芒果鳗鱼加州卷,三文鱼刺身,钱江新城,太平门直街527号
本逸·割烹料理,日本菜,￥444,五星商户,471.0,9.2,9.4,9.3,厚切三文鱼,综合刺身拼盘,红酒香煎鹅肝佐鱼子酱,湖墅南路,湖墅南路198号逸酒店一楼
原来在这里·日本料理,日本菜,￥79,准五星商户,235.0,8.6,9.0,9.0,牛肉寿喜锅,日式炸鸡块,蟹肉沙拉,开发区/高教园,滨盛路星耀城一期2幢101-3号
丸金盛合日式料理(中赢国际店),日本菜,￥101,准五星商户,323.0,8.7,9.0,9.0,三文鱼茶碗蒸,火焰三文鱼刺身,三文鱼海鲜饭,开发区/高教园,滨和路1006号
龙之介·炉端烧,日本菜,￥260,五星商户,260.0,8.9,9.2,9.1,酱烤活鳗鱼,黄油土豆,刺身单点大拼盘,开发区/高教园,信诚路555号科达大厦A座101
余白精致料理(亲橙里店),日本菜,￥173,准五星商户,184.0,8.8,9.0,9.0,厚切三文鱼,鹅肝寿司,厚切帝王鲑,海创园,常二路亲橙里购物中心B区1楼
红阳日式料理(华润万家店),日本菜,￥84,五星商户,424.0,9.0,9.0,9.2,海鲜玉子烧,芒果鳗鱼加州卷,秋刀鱼,钱江新城,新塘路29号
丸金日式料理(中山中路店),日本菜,￥105,五星商户,606.0,9.0,8.7,9.0,火焰三文鱼刺身,牛油果三文鱼卷,芝士焗三文鱼土豆泥,湖滨,中山中路537号
渡一居酒屋,日本菜,￥139,五星商户,149.0,9.1,9.3,9.2,寿司拼盘,鹅肝,芝士猪排,海创园,余杭区仓前塘路14号
满料理,日本菜,￥388,五星商户,205.0,8.9,9.1,9.0,松叶蟹腿天妇罗,蟹料理,甜瓜抹茶布丁,龙井/虎跑,满觉陇路212-2号
鱼宇居酒屋·148年的日料情怀(十五奎巷店),日本菜,￥166,准五星商户,813.0,8.8,9.0,9.0,鳗鱼饭,鸡软骨,牛油果鳗鱼芝士寿司,吴山广场/河坊街,十五奎巷43号
大江户居酒屋(中山中路店),日本菜,￥252,五星商户,860.0,9.0,9.1,9.0,抹茶布丁,碳烤厚切牛舌,厚切三文鱼,平海路,中山中路479-1号
鳗誠屋(万泰城店),日本菜,￥121,准五星商户,2714.0,8.8,8.7,8.8,鳗鱼三吃,鳗鱼盖饭,鹅肝手握,万泰城,望江东路332号万泰城1层
御牛道日式料理炭火烤肉(中山中路店),日本菜,￥179,五星商户,2759.0,9.1,9.0,9.1,特上牛小排,特等玫瑰牛舌,饕餮四点拼盘,解放路沿线,中山中路354号
永山料理,日本菜,￥191,五星商户,125.0,9.0,9.3,9.2,海胆,布丁,酱烧牛舌,庆春路沿线,武林路9号
